Chip Number,Status,Test Result (added Aug 5) ,Last Update,,Total,221,
479,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14
test_pll_capbank_width[1.2], 13>=14
test_eTX_delayscan[1.08], 8>=9
test_eTX_delayscan[1.2], 10>=11",In WH14 (Aug 6),,,,
480,"QC test done, not coverage","test_pll_capbank_width[1.08], 12>=14
test_pll_capbank_width[1.2], 13>=14
test_pll_capbank_width[1.32], 13>=14",In WH14 (Aug 6),,,,
481,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14",In WH14 (Aug 6),,,,
482,"QC test done, not coverage","test_pll_capbank_width[1.08], 12>=14
test_pll_capbank_width[1.2], 12>=14",In WH14 (Aug 6),,,,
483,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14
test_pll_capbank_width[1.2], 13>=14",In WH14 (Aug 6),,,,
484,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14
test_pll_capbank_width[1.2], 13>=14
test_eTX_delayscan[1.08], 8>=9",In WH14 (Aug 6),,,,
485,"QC test done, not coverage","test_pll_capbank_width[1.08], 12>=14
test_pll_capbank_width[1.2], 13>=14
test_eTX_delayscan[1.08], 7>=9
test_eTX_delayscan[1.2], 10>=11",In WH14 (Aug 6),,,,
486,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14
test_pll_capbank_width[1.2], 13>=14
test_pll_capbank_width[1.32], 13>=14
test_eTX_delayscan[1.2], 10>=11",In WH14 (Aug 6),,,,
487,"QC test done, not coverage","Failed test_ePortRXPRBS[1.08], width==0, outlier",In WH14 (Aug 6),,,,
488,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14
test_pll_capbank_width[1.2], 13>=14",In WH14 (Aug 6),,,,
489,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14
test_pll_capbank_width[1.2], 13>=14",In WH14 (Aug 6),,,,
490,"QC test done, not coverage","test_pll_capbank_width[1.08], 13>=14",In WH14 (Aug 6),,,,
